victim_family,defense,forged_accept_rate,ci95_lo,ci95_hi,n
anthropic,none,0.0,0,0.138,24
anthropic,registry,0.0,0,0.138,24
anthropic_sonnet,none,0.0,0,0.138,24
anthropic_sonnet,registry,0.0,0,0.138,24
deepseek,none,0.0,0,0.138,24
deepseek,registry,0.0,0,0.138,24
llama_weak,none,0.417,0.245,0.612,24
llama_weak,registry,0.292,0.149,0.492,24
mistral,none,0.917,0.742,0.977,24
mistral,registry,0.0,0,0.138,24
openai,none,0.0,0,0.138,24
openai,registry,0.0,0,0.138,24
qwen,none,0.0,0,0.138,24
qwen,registry,0.0,0,0.138,24
